Date,CPI
1998-01-31,162.0
1998-02-28,162.0
1998-03-31,162.0
1998-04-30,162.2
1998-05-31,162.6
1998-06-30,162.8
1998-07-31,163.2
1998-08-31,163.4
1998-09-30,163.5
1998-10-31,163.9
1998-11-30,164.1
1998-12-31,164.4
1999-01-31,164.7
1999-02-28,164.7
1999-03-31,164.8
1999-04-30,165.9
1999-05-31,166.0
1999-06-30,166.0
1999-07-31,166.7
1999-08-31,167.1
1999-09-30,167.8
1999-10-31,168.1
1999-11-30,168.4
1999-12-31,168.8
2000-01-31,169.3
2000-02-29,170.0
2000-03-31,171.0
2000-04-30,170.9
2000-05-31,171.2
2000-06-30,172.2
2000-07-31,172.7
2000-08-31,172.7
2000-09-30,173.6
2000-10-31,173.9
2000-11-30,174.2
2000-12-31,174.6
2001-01-31,175.6
2001-02-28,176.0
2001-03-31,176.1
2001-04-30,176.4
2001-05-31,177.3
2001-06-30,177.7
2001-07-31,177.4
2001-08-31,177.4
2001-09-30,178.1
2001-10-31,177.6
2001-11-30,177.5
2001-12-31,177.4
2002-01-31,177.7
2002-02-28,178.0
2002-03-31,178.5
2002-04-30,179.3
2002-05-31,179.5
2002-06-30,179.6
2002-07-31,180.0
2002-08-31,180.5
2002-09-30,180.8
2002-10-31,181.2
2002-11-30,181.5
2002-12-31,181.8
2003-01-31,182.6
2003-02-28,183.6
2003-03-31,183.9
2003-04-30,183.2
2003-05-31,182.9
2003-06-30,183.1
2003-07-31,183.7
2003-08-31,184.5
2003-09-30,185.1
2003-10-31,184.9
2003-11-30,185.0
2003-12-31,185.5
2004-01-31,186.3
2004-02-29,186.7
2004-03-31,187.1
2004-04-30,187.4
2004-05-31,188.2
2004-06-30,188.9
2004-07-31,189.1
2004-08-31,189.2
2004-09-30,189.8
2004-10-31,190.8
2004-11-30,191.7
2004-12-31,191.7
2005-01-31,191.6
2005-02-28,192.4
2005-03-31,193.1
2005-04-30,193.7
2005-05-31,193.6
2005-06-30,193.7
2005-07-31,194.9
2005-08-31,196.1
2005-09-30,198.8
2005-10-31,199.1
2005-11-30,198.1
2005-12-31,198.1
2006-01-31,199.3
2006-02-28,199.4
2006-03-31,199.7
2006-04-30,200.7
2006-05-31,201.3
2006-06-30,201.8
2006-07-31,202.9
2006-08-31,203.8
2006-09-30,202.8
2006-10-31,201.9
2006-11-30,202.0
2006-12-31,203.1
2007-01-31,203.437
2007-02-28,204.226
2007-03-31,205.288
2007-04-30,205.904
2007-05-31,206.755
2007-06-30,207.234
2007-07-31,207.603
2007-08-31,207.667
2007-09-30,208.547
2007-10-31,209.19
2007-11-30,210.834
2007-12-31,211.445
2008-01-31,212.174
2008-02-29,212.687
2008-03-31,213.448
2008-04-30,213.942
2008-05-31,215.208
2008-06-30,217.463
2008-07-31,219.016
2008-08-31,218.69
2008-09-30,218.877
2008-10-31,216.995
2008-11-30,213.153
2008-12-31,211.398
2009-01-31,211.933
2009-02-28,212.705
2009-03-31,212.495
2009-04-30,212.709
2009-05-31,213.022
2009-06-30,214.79
2009-07-31,214.726
2009-08-31,215.445
2009-09-30,215.861
2009-10-31,216.509
2009-11-30,217.234
2009-12-31,217.347
2010-01-31,217.488
2010-02-28,217.281
2010-03-31,217.353
2010-04-30,217.403
2010-05-31,217.29
2010-06-30,217.199
2010-07-31,217.605
2010-08-31,217.923
2010-09-30,218.275
2010-10-31,219.035
2010-11-30,219.59
2010-12-31,220.472
2011-01-31,221.187
2011-02-28,221.898
2011-03-31,223.046
2011-04-30,224.093
2011-05-31,224.806
2011-06-30,224.806
2011-07-31,225.395
2011-08-31,226.106
2011-09-30,226.597
2011-10-31,226.75
2011-11-30,227.169
2011-12-31,227.223
2012-01-31,227.842
2012-02-29,228.329
2012-03-31,228.807
2012-04-30,229.187
2012-05-31,228.713
2012-06-30,228.524
2012-07-31,228.59
2012-08-31,229.918
2012-09-30,231.015
2012-10-31,231.638
2012-11-30,231.249
2012-12-31,231.221
2013-01-31,231.679
2013-02-28,232.937
2013-03-31,232.282
2013-04-30,231.797
2013-05-31,231.893
2013-06-30,232.445
2013-07-31,232.9
2013-08-31,233.456
2013-09-30,233.544
2013-10-31,233.669
2013-11-30,234.1
2013-12-31,234.719
2014-01-31,235.288
2014-02-28,235.547
2014-03-31,236.028
2014-04-30,236.468
2014-05-31,236.918
2014-06-30,237.231
2014-07-31,237.498
2014-08-31,237.46
2014-09-30,237.477
2014-10-31,237.43
2014-11-30,236.983
2014-12-31,236.252
2015-01-31,234.747
2015-02-28,235.342
2015-03-31,235.976
2015-04-30,236.222
2015-05-31,237.001
2015-06-30,237.657
2015-07-31,238.034
2015-08-31,238.033
2015-09-30,237.498
2015-10-31,237.733
2015-11-30,238.017
2015-12-31,237.761
2016-01-31,237.652
2016-02-29,237.336
2016-03-31,238.08
2016-04-30,238.992
2016-05-31,239.557
2016-06-30,240.222
2016-07-31,240.101
2016-08-31,240.545
2016-09-30,241.176
2016-10-31,241.741
2016-11-30,242.026
2016-12-31,242.637
2017-01-31,243.618
2017-02-28,244.006
2017-03-31,243.892
2017-04-30,244.193
2017-05-31,244.004
2017-06-30,244.163
2017-07-31,244.243
2017-08-31,245.183
2017-09-30,246.435
2017-10-31,246.626
2017-11-30,247.284
2017-12-31,247.805
2018-01-31,248.859
2018-02-28,249.529
2018-03-31,249.577
2018-04-30,250.227
2018-05-31,250.792
2018-06-30,251.018
2018-07-31,251.214
2018-08-31,251.663
2018-09-30,252.182
2018-10-31,252.772
2018-11-30,252.594
2018-12-31,252.767
2019-01-31,252.561
2019-02-28,253.319
2019-03-31,254.277
2019-04-30,255.233
2019-05-31,255.296
2019-06-30,255.213
2019-07-31,255.802
2019-08-31,256.036
2019-09-30,256.43
2019-10-31,257.155
2019-11-30,257.879
2019-12-31,258.63
2020-01-31,259.127
2020-02-29,259.25
2020-03-31,258.076
2020-04-30,256.032
2020-05-31,255.802
2020-06-30,257.042
2020-07-31,258.352
2020-08-31,259.316
2020-09-30,259.997
2020-10-31,260.319
2020-11-30,260.911
2020-12-31,262.045
2021-01-31,262.639
2021-02-28,263.573
2021-03-31,264.847
2021-04-30,266.625
2021-05-31,268.404
2021-06-30,270.71
2021-07-31,271.965
2021-08-31,272.752
2021-09-30,273.942
2021-10-31,276.528
2021-11-30,278.824
2021-12-31,280.806
2022-01-31,282.542
2022-02-28,284.525
2022-03-31,287.467
2022-04-30,288.582
2022-05-31,291.299
2022-06-30,295.072
2022-07-31,294.94
2022-08-31,295.162
2022-09-30,296.421
2022-10-31,297.979
2022-11-30,298.708
2022-12-31,298.808
2023-01-31,300.456
2023-02-28,301.476
2023-03-31,301.643
2023-04-30,302.858
2023-05-31,303.316
2023-06-30,304.099
2023-07-31,304.615
2023-08-31,306.138
2023-09-30,307.374
2023-10-31,307.653
2023-11-30,308.087
2023-12-31,308.735
2024-01-31,309.794
2024-02-29,311.022
2024-03-31,312.107
2024-04-30,313.016
2024-05-31,313.14
2024-06-30,313.131
2024-07-31,313.566
2024-08-31,314.131
2024-09-30,314.851
2024-10-31,315.564
2024-11-30,316.449
2024-12-31,317.603
2025-01-31,319.086
2025-02-28,319.775
2025-03-31,319.615
2025-04-30,320.321
2025-05-31,320.58
2025-06-30,321.5
